 ,0.667,2.252,,5,,,
,,,,,,763,0.129
,,,,,,764,0.147
,,,,,,765,0.115
,,,,,,766,0.135
,,,,,,767,0.125
,,,,,,768,0.148
,,,,,,769,0.124
,,,,,,770,0.124
,,,,,,771,0.139
,,,,,,772,0.115
,,,,,,773,0.139
,,,,,,774,0.119
,,,,,,775,0.129
,,,,,,776,0.096
,,,,,,777,0.145
,,,,,,778,0.105
,,,,,,779,0.125
,,,,,,780,0.124
,,,,,,781,0.112
,,,,,,782,0.107
,,,,,,783,0.104
,,,,,,784,0.094
,,,,,,785,0.097
,,,,,,786,0.081
,,,,,,787,0.104
,,,,,,788,0.107
,,,,,,789,0.091
,,,,,,790,0.081
,,,,,,791,0.109
,,,,,,792,0.085
,,,,,,793,0.125
,,,,,,794,0.081
,,,,,,795,0.074
,,,,,,796,0.091
,,,,,,797,0.072
,,,,,,798,0.069
,,,,,,799,0.088
,,,,,,800,0.089
